name,website
Active Images,https://active-images.fr/
Alayone Comics,
Alpen Publishers,
Ankama Éditions,https://www.ankama-editions.com/
Auto-édition,
BD Star,
BDouin,
Bidouille,
Caravelle,
Cerises & Coquelicots,
Claude Lefrancq Éditeur (CLE),
Cornélius,https://www.cornelius.fr/
Drugstore,
Dynamite,https://www.dynamite.com/
Dédales Éditions,
EP Media,
Edition des Archers,
Editions Déméter,
Editions Marcel Daubin,
Editions Tabary,
Editions USA,
Ego comme X,
Emmanuel Proust Éditions,https://epeditions.fr/
Filidalo,
Floro,
Fordis,
Glénat / Fayard,
Glénat / Éditions du Patrimoine,
Groupe Modus,
Grrr...Art Éditions,
Hors Collection,
Horus,
Huginn & Muninn,https://huginnmuninn.fr/
JYB Aventures,
Jean-André Buse,
Joker Editions,
Jungle !,https://editions-jungle.com/
Kana,https://www.kana.fr/
Kantik,
Kennes Éditions,https://kenneseditions.com/
LUG,
La boîte à bulles,https://www.la-boite-a-bulles.com/
La joie de lire,https://lajoiedelire.ch/
Lavauzelle,https://www.lavauzelle.com/
Le potager moderne,
Les Enfants Rouges,https://enfantsrouges.com/
Les Machines,
Les Malins,
Les Rêveurs,
Les Éditions Fei,
Lombard,https://www.lelombard.com/
Lounak,
Lucky Comics,
Lucky Productions,
Lécureux/Centlys,
Magic Strip,
Marabout,https://www.marabout.com/
Mosquito,https://www.editionsmosquito.com/
Nickel Productions,
Novedi,
Nucléa,
Oncle Lucien Editions,
Organic Comix et Original Watts,
Organix Comix et Original Watts,
Oxymore Éditions,
P&T Production,
Pan pan,
Pangolin Comics,
Paquet,https://editionspaquet.com/
Parfum d'encre,
Petit Homme,
Philéas,
Physalis,
Pierre Papier Chicon,
Pointe Noire,
Pyramides & Aplanos,
Quadrants,
Sarbacane,https://editions-sarbacane.com/
Scilly Verlag,
Scutella Editions,
Septentrion,
Seven 7,
Super Loto Editions,
Tabary,
Tabou,
Tapages Nocturnes,
Theloma,
ToDo,
Traditions de l'Inde,
Vertige Graphic,https://www.alterlivres.com/librairie/editions/vertige-graphic-2/
Yes Company,
Zenescope Entertainment,https://zenescope.com/
bang ediciones,
multi-bd-bruxelles,
Éditions Bravo !,
Éditions Bréal,
Éditions Carabas,
Éditions Glénat,
Éditions Matière,
Éditions Régine Deforges,
Éditions de la Séguinière,
Éditions du Square,
Éditions du Taupinambour,
éditions Mondiale,
